Data,Candidato,Rede,Seguidores,Posts,CrescimentoDiario
2026-07-30,Romeu Zema,TikTok,643964,0,0
2026-07-31,Romeu Zema,TikTok,644119,0,155
2026-08-03,Romeu Zema,TikTok,644809,0,690
2026-08-04,Romeu Zema,TikTok,645018,0,209
2026-08-05,Romeu Zema,TikTok,645415,0,397
2026-08-06,Romeu Zema,TikTok,645703,0,288
2026-08-07,Romeu Zema,TikTok,646394,0,691
2026-07-30,Romeu Zema,X,606000,0,0
2026-07-31,Romeu Zema,X,606006,0,6
2026-08-03,Romeu Zema,X,606322,0,316
2026-08-04,Romeu Zema,X,606310,0,-12
2026-08-05,Romeu Zema,X,606310,1,0
2026-08-06,Romeu Zema,X,606324,3,14
2026-08-07,Romeu Zema,X,606434,0,110
2026-07-30,Ronaldo Caiado,Facebook,1276444,0,0
2026-07-31,Ronaldo Caiado,Facebook,1276648,0,204
2026-08-03,Ronaldo Caiado,Facebook,1276798,0,150
2026-08-04,Ronaldo Caiado,Facebook,1276783,0,-15
2026-08-05,Ronaldo Caiado,Facebook,1276751,0,-32
2026-08-06,Ronaldo Caiado,Facebook,1276729,0,-22
2026-08-07,Ronaldo Caiado,Facebook,1276766,0,37
2026-07-30,Ronaldo Caiado,Instagram,2220413,0,0
2026-07-31,Ronaldo Caiado,Instagram,2224144,0,3731
2026-08-03,Ronaldo Caiado,Instagram,2232322,0,8178
2026-08-04,Ronaldo Caiado,Instagram,2234564,0,2242
2026-08-05,Ronaldo Caiado,Instagram,2236457,0,1893
2026-08-06,Ronaldo Caiado,Instagram,2240615,0,4158
2026-08-07,Ronaldo Caiado,Instagram,2242135,0,1520
2026-07-30,Ronaldo Caiado,TikTok,685781,0,0
2026-07-31,Ronaldo Caiado,TikTok,686763,0,982
2026-08-03,Ronaldo Caiado,TikTok,689678,0,2915
2026-08-04,Ronaldo Caiado,TikTok,690090,0,412
2026-08-05,Ronaldo Caiado,TikTok,690609,0,519
2026-08-06,Ronaldo Caiado,TikTok,691200,0,591
2026-08-07,Ronaldo Caiado,TikTok,691713,0,513
2026-07-30,Ronaldo Caiado,X,516100,0,0
2026-07-31,Ronaldo Caiado,X,516131,0,31
2026-08-03,Ronaldo Caiado,X,516129,0,-2
